ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
74955	15344	8179	7165	0.533	0.467
74956	1905	624	1281	0.328	0.672
74957	1170	0	1170	0.0	1.0
74959	6736	0	6736	0.0	1.0
74960	13643	3789	9854	0.278	0.722
74962	5092	0	5092	0.0	1.0
74963	608	0	608	0.0	1.0
74964	2834	267	2567	0.094	0.906
74965	5170	0	5170	0.0	1.0
74966	3719	0	3719	0.0	1.0
75001	12414	12414	0	1.0	0.0
75002	63140	61203	1937	0.969	0.031
75006	46364	46364	0	1.0	0.0
75007	51624	51624	0	1.0	0.0
75009	8785	5076	3709	0.578	0.422
75010	21607	21607	0	1.0	0.0
75013	30347	30064	283	0.991	0.009
75019	38666	38666	0	1.0	0.0
75020	21872	18405	3467	0.841	0.159
75021	8036	3563	4473	0.443	0.557
