ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
26291	165	0	165	0.0	1.0
26292	836	0	836	0.0	1.0
26293	600	0	600	0.0	1.0
26294	729	0	729	0.0	1.0
26296	177	0	177	0.0	1.0
26298	96	0	96	0.0	1.0
26301	30435	25483	4952	0.837	0.163
26320	1000	0	1000	0.0	1.0
26321	354	0	354	0.0	1.0
26323	602	597	5	0.992	0.008
26325	320	0	320	0.0	1.0
26327	83	0	83	0.0	1.0
26330	14377	10574	3803	0.735	0.265
26335	1378	0	1378	0.0	1.0
26337	1218	0	1218	0.0	1.0
26338	629	0	629	0.0	1.0
26339	255	0	255	0.0	1.0
26342	509	0	509	0.0	1.0
26343	445	0	445	0.0	1.0
26346	972	0	972	0.0	1.0
26347	2068	0	2068	0.0	1.0
26348	196	0	196	0.0	1.0
26349	132	0	132	0.0	1.0
26351	5120	3415	1705	0.667	0.333
26354	11135	5923	5212	0.532	0.468
26361	263	263	0	1.0	0.0
26362	3378	0	3378	0.0	1.0
26366	144	127	17	0.882	0.118
26369	762	646	116	0.848	0.152
26372	686	24	662	0.035	0.965
26374	1375	0	1375	0.0	1.0
26376	463	0	463	0.0	1.0
26377	700	0	700	0.0	1.0
26378	3820	19	3801	0.005	0.995
26384	520	0	520	0.0	1.0
26385	3872	0	3872	0.0	1.0
26386	2411	988	1423	0.41	0.59
26404	458	193	265	0.421	0.579
26405	1179	0	1179	0.0	1.0
26408	2852	792	2060	0.278	0.722
26410	1037	0	1037	0.0	1.0
26411	707	0	707	0.0	1.0
26412	546	0	546	0.0	1.0
26415	4016	0	4016	0.0	1.0
26416	7529	2700	4829	0.359	0.641
26419	1131	0	1131	0.0	1.0
26421	262	0	262	0.0	1.0
26422	606	260	346	0.429	0.571
26424	318	0	318	0.0	1.0
26425	1216	0	1216	0.0	1.0
26426	7003	253	6750	0.036	0.964
26430	466	0	466	0.0	1.0
26431	5950	3154	2796	0.53	0.47
26435	98	0	98	0.0	1.0
26436	204	0	204	0.0	1.0
26437	645	0	645	0.0	1.0
26438	176	176	0	1.0	0.0
26440	1135	0	1135	0.0	1.0
26443	258	0	258	0.0	1.0
26444	3639	0	3639	0.0	1.0
26447	1055	0	1055	0.0	1.0
26448	1421	0	1421	0.0	1.0
26451	685	0	685	0.0	1.0
26452	9676	5034	4642	0.52	0.48
26456	3734	0	3734	0.0	1.0
26501	19616	13851	5765	0.706	0.294
26505	38772	38341	431	0.989	0.011
26508	29170	17108	12062	0.586	0.414
26519	1836	0	1836	0.0	1.0
26520	778	0	778	0.0	1.0
26521	346	0	346	0.0	1.0
26525	7064	0	7064	0.0	1.0
26534	789	789	0	1.0	0.0
26537	5721	3201	2520	0.56	0.44
26541	2624	93	2531	0.035	0.965
26542	2547	0	2547	0.0	1.0
26543	252	168	84	0.667	0.333
26547	2376	0	2376	0.0	1.0
26554	41369	30464	10905	0.736	0.264
26559	1269	1269	0	1.0	0.0
26560	227	0	227	0.0	1.0
26562	634	0	634	0.0	1.0
26563	381	0	381	0.0	1.0
26568	679	467	212	0.688	0.312
26570	3595	0	3595	0.0	1.0
26571	1833	0	1833	0.0	1.0
26572	136	0	136	0.0	1.0
26574	664	0	664	0.0	1.0
26575	827	0	827	0.0	1.0
26576	608	0	608	0.0	1.0
26581	1104	0	1104	0.0	1.0
26582	5335	0	5335	0.0	1.0
26585	479	0	479	0.0	1.0
26586	209	209	0	1.0	0.0
26587	432	0	432	0.0	1.0
26588	2611	1022	1589	0.391	0.609
26590	791	0	791	0.0	1.0
26591	1511	460	1051	0.304	0.696
26601	4898	0	4898	0.0	1.0
26610	1090	0	1090	0.0	1.0
26611	224	0	224	0.0	1.0
26615	245	0	245	0.0	1.0
26617	187	0	187	0.0	1.0
26619	606	0	606	0.0	1.0
26621	757	0	757	0.0	1.0
26623	1189	0	1189	0.0	1.0
26624	2950	0	2950	0.0	1.0
26627	447	0	447	0.0	1.0
26629	309	0	309	0.0	1.0
26631	352	0	352	0.0	1.0
26636	487	0	487	0.0	1.0
26638	178	0	178	0.0	1.0
26651	9650	3369	6281	0.349	0.651
26656	401	0	401	0.0	1.0
26660	255	0	255	0.0	1.0
26662	1154	0	1154	0.0	1.0
26676	435	0	435	0.0	1.0
26678	1247	0	1247	0.0	1.0
26679	1896	0	1896	0.0	1.0
26680	340	0	340	0.0	1.0
26681	1486	0	1486	0.0	1.0
26684	116	0	116	0.0	1.0
26690	584	0	584	0.0	1.0
26691	417	0	417	0.0	1.0
26704	5663	0	5663	0.0	1.0
26705	1077	0	1077	0.0	1.0
26707	344	0	344	0.0	1.0
26710	2133	0	2133	0.0	1.0
26711	2655	0	2655	0.0	1.0
26714	482	0	482	0.0	1.0
26716	706	0	706	0.0	1.0
26717	1170	0	1170	0.0	1.0
26719	2785	0	2785	0.0	1.0
26720	174	0	174	0.0	1.0
26722	599	0	599	0.0	1.0
26726	13306	6851	6455	0.515	0.485
26731	382	0	382	0.0	1.0
26739	889	0	889	0.0	1.0
26743	1613	0	1613	0.0	1.0
26750	891	889	2	0.998	0.002
26753	6254	1664	4590	0.266	0.734
26755	833	0	833	0.0	1.0
26757	6464	0	6464	0.0	1.0
26761	685	0	685	0.0	1.0
26763	1540	0	1540	0.0	1.0
26764	4220	0	4220	0.0	1.0
26767	768	585	183	0.762	0.238
26801	1118	0	1118	0.0	1.0
26802	1357	0	1357	0.0	1.0
26804	709	0	709	0.0	1.0
26807	2947	0	2947	0.0	1.0
26808	967	0	967	0.0	1.0
26810	329	0	329	0.0	1.0
26812	1705	0	1705	0.0	1.0
26814	415	0	415	0.0	1.0
26815	646	0	646	0.0	1.0
26817	443	0	443	0.0	1.0
26818	709	0	709	0.0	1.0
26823	198	0	198	0.0	1.0
26833	2309	0	2309	0.0	1.0
26836	6578	2732	3846	0.415	0.585
26845	898	0	898	0.0	1.0
26847	6277	2545	3732	0.405	0.595
26851	2180	0	2180	0.0	1.0
26852	869	0	869	0.0	1.0
26855	826	0	826	0.0	1.0
26865	248	0	248	0.0	1.0
26866	929	0	929	0.0	1.0
26884	625	0	625	0.0	1.0
27006	14150	7062	7088	0.499	0.501
27007	2162	0	2162	0.0	1.0
27009	2647	445	2202	0.168	0.832
27011	5497	0	5497	0.0	1.0
27012	25461	21191	4270	0.832	0.168
27013	6057	0	6057	0.0	1.0
27014	840	0	840	0.0	1.0
27016	1936	0	1936	0.0	1.0
27017	9597	0	9597	0.0	1.0
27018	7655	0	7655	0.0	1.0
27019	4032	453	3579	0.112	0.888
27020	6421	0	6421	0.0	1.0
27021	18106	11472	6634	0.634	0.366
27022	1560	0	1560	0.0	1.0
27023	11873	10077	1796	0.849	0.151
27024	2733	0	2733	0.0	1.0
27025	11138	1850	9288	0.166	0.834
27027	4385	2532	1853	0.577	0.423
27028	25839	5191	20648	0.201	0.799
27030	38374	19419	18955	0.506	0.494
27040	10893	8344	2549	0.766	0.234
27041	7554	0	7554	0.0	1.0
27042	834	0	834	0.0	1.0
27043	6615	0	6615	0.0	1.0
27045	8536	6808	1728	0.798	0.202
27046	2024	0	2024	0.0	1.0
27047	1191	0	1191	0.0	1.0
27048	8609	116	8493	0.013	0.987
27050	3893	834	3059	0.214	0.786
27051	7369	5675	1694	0.77	0.23
27052	10624	0	10624	0.0	1.0
27053	3007	0	3007	0.0	1.0
27054	2567	0	2567	0.0	1.0
27055	14200	3530	10670	0.249	0.751
27101	18901	18901	0	1.0	0.0
27103	33208	33198	10	1.0	0.0
27104	28485	28485	0	1.0	0.0
27105	39568	38538	1030	0.974	0.026
27106	45015	45015	0	1.0	0.0
27107	46963	41076	5887	0.875	0.125
27109	2539	2539	0	1.0	0.0
27110	2127	2127	0	1.0	0.0
27127	34138	33098	1040	0.97	0.03
27201	63	0	63	0.0	1.0
27203	21108	19940	1168	0.945	0.055
27205	33216	9579	23637	0.288	0.712
27207	3795	0	3795	0.0	1.0
27208	1676	0	1676	0.0	1.0
27209	3933	1856	2077	0.472	0.528
27212	2580	0	2580	0.0	1.0
27214	10294	3485	6809	0.339	0.661
27215	38807	34137	4670	0.88	0.12
27217	36954	26397	10557	0.714	0.286
27229	3929	0	3929	0.0	1.0
27231	2148	0	2148	0.0	1.0
27233	3390	0	3390	0.0	1.0
27235	4136	1939	2197	0.469	0.531
27239	9079	0	9079	0.0	1.0
27242	2100	0	2100	0.0	1.0
27243	4337	447	3890	0.103	0.897
27244	14173	8976	5197	0.633	0.367
27248	4524	689	3835	0.152	0.848
27249	12486	6068	6418	0.486	0.514
27252	2003	0	2003	0.0	1.0
27253	29827	18453	11374	0.619	0.381
27258	6006	3577	2429	0.596	0.404
27260	24023	24023	0	1.0	0.0
27262	23934	23353	581	0.976	0.024
27263	21414	17121	4293	0.8	0.2
27265	46690	43896	2794	0.94	0.06
27278	24286	12937	11349	0.533	0.467
27281	3100	0	3100	0.0	1.0
27282	15906	15595	311	0.98	0.02
27283	3141	0	3141	0.0	1.0
27284	51136	42515	8621	0.831	0.169
27288	24071	17071	7000	0.709	0.291
27291	1662	0	1662	0.0	1.0
27292	39787	16104	23683	0.405	0.595
27295	37211	17233	19978	0.463	0.537
27298	10336	0	10336	0.0	1.0
27299	5190	1113	4077	0.214	0.786
27301	8750	3925	4825	0.449	0.551
27302	26412	18217	8195	0.69	0.31
27305	1685	0	1685	0.0	1.0
27306	6176	0	6176	0.0	1.0
27310	6710	4742	1968	0.707	0.293
27311	3402	191	3211	0.056	0.944
27312	18306	6052	12254	0.331	0.669
27313	6962	1113	5849	0.16	0.84
27314	1051	0	1051	0.0	1.0
27315	2243	0	2243	0.0	1.0
27316	6650	2262	4388	0.34	0.66
27317	16959	8111	8848	0.478	0.522
27320	39351	14067	25284	0.357	0.643
27325	6704	0	6704	0.0	1.0
27326	4008	0	4008	0.0	1.0
27330	37947	24301	13646	0.64	0.36
27332	30236	15804	14432	0.523	0.477
27340	120	0	120	0.0	1.0
27341	5360	0	5360	0.0	1.0
27343	1716	0	1716	0.0	1.0
27344	18022	9076	8946	0.504	0.496
27349	5511	0	5511	0.0	1.0
27350	6530	824	5706	0.126	0.874
27355	2660	0	2660	0.0	1.0
27356	3205	965	2240	0.301	0.699
27357	7894	0	7894	0.0	1.0
27358	14075	7346	6729	0.522	0.478
27360	46084	33522	12562	0.727	0.273
27370	15052	6680	8372	0.444	0.556
27371	8132	3618	4514	0.445	0.555
27376	9386	4478	4908	0.477	0.523
27377	7104	3964	3140	0.558	0.442
27379	4661	0	4661	0.0	1.0
27401	21932	21932	0	1.0	0.0
27403	21958	21958	0	1.0	0.0
27405	44567	42416	2151	0.952	0.048
27406	56458	48204	8254	0.854	0.146
27407	46242	44877	1365	0.97	0.03
27408	17296	17296	0	1.0	0.0
27409	15621	15245	376	0.976	0.024
27410	52388	52388	0	1.0	0.0
27455	28706	25133	3573	0.876	0.124
27501	17571	5222	12349	0.297	0.703
27502	30831	29344	1487	0.952	0.048
27503	3471	0	3471	0.0	1.0
27504	14566	5092	9474	0.35	0.65
27505	5896	122	5774	0.021	0.979
27507	1929	0	1929	0.0	1.0
27508	2053	0	2053	0.0	1.0
27509	10167	9693	474	0.953	0.047
27510	14644	14644	0	1.0	0.0
27511	32029	32029	0	1.0	0.0
27513	40755	40753	2	1.0	0.0
27514	32110	30402	1708	0.947	0.053
27516	36139	25072	11067	0.694	0.306
27517	23346	17654	5692	0.756	0.244
27518	19630	19630	0	1.0	0.0
27519	39178	38247	931	0.976	0.024
27520	36357	23939	12418	0.658	0.342
27521	6035	2142	3893	0.355	0.645
27522	12335	7282	5053	0.59	0.41
27523	9552	6445	3107	0.675	0.325
27524	12338	2685	9653	0.218	0.782
27525	13338	0	13338	0.0	1.0
27526	38894	29457	9437	0.757	0.243
27527	18216	12171	6045	0.668	0.332
27529	42128	39331	2797	0.934	0.066
27530	40117	29751	10366	0.742	0.258
27531	594	594	0	1.0	0.0
27534	31364	22177	9187	0.707	0.293
27536	17289	16652	637	0.963	0.037
27537	24319	4151	20168	0.171	0.829
27539	18692	18537	155	0.992	0.008
27540	29363	27101	2262	0.923	0.077
27541	3770	0	3770	0.0	1.0
27542	9133	0	9133	0.0	1.0
27544	4449	55	4394	0.012	0.988
27545	23006	20133	2873	0.875	0.125
27546	19471	7393	12078	0.38	0.62
27549	24112	3694	20418	0.153	0.847
27551	1962	0	1962	0.0	1.0
27553	2937	0	2937	0.0	1.0
27555	441	0	441	0.0	1.0
27556	346	0	346	0.0	1.0
27557	7509	0	7509	0.0	1.0
27559	2288	0	2288	0.0	1.0
27560	22623	22483	140	0.994	0.006
27562	1938	0	1938	0.0	1.0
27563	5008	0	5008	0.0	1.0
27565	25255	9174	16081	0.363	0.637
27568	480	480	0	1.0	0.0
27569	8022	0	8022	0.0	1.0
27571	3893	3440	453	0.884	0.116
27572	6546	0	6546	0.0	1.0
27573	11414	9254	2160	0.811	0.189
27574	14373	406	13967	0.028	0.972
27576	17091	7184	9907	0.42	0.58
27577	22911	13201	9710	0.576	0.424
27581	3049	0	3049	0.0	1.0
27582	289	0	289	0.0	1.0
27583	6921	0	6921	0.0	1.0
27587	53078	40132	12946	0.756	0.244
27589	8370	0	8370	0.0	1.0
27591	19589	9966	9623	0.509	0.491
27592	15244	7126	8118	0.467	0.533
27596	15619	3952	11667	0.253	0.747
27597	22181	6696	15485	0.302	0.698
27601	9450	9450	0	1.0	0.0
27603	47033	43407	3626	0.923	0.077
27604	42204	41345	859	0.98	0.02
27605	4495	4495	0	1.0	0.0
27606	43210	43014	196	0.995	0.005
27607	25188	25161	27	0.999	0.001
27608	10429	10429	0	1.0	0.0
27609	32964	32964	0	1.0	0.0
27610	65648	63340	2308	0.965	0.035
27612	35028	35011	17	1.0	0.0
27613	42690	42056	634	0.985	0.015
27614	31516	29036	2480	0.921	0.079
27615	42166	42166	0	1.0	0.0
27616	42294	41736	558	0.987	0.013
27617	15199	15183	16	0.999	0.001
27701	21288	21288	0	1.0	0.0
27703	41937	39733	2204	0.947	0.053
27704	34517	32011	2506	0.927	0.073
27705	46282	42837	3445	0.926	0.074
27707	45023	44803	220	0.995	0.005
27709	1047	1047	0	1.0	0.0
27712	20035	17417	2618	0.869	0.131
27713	46660	45838	822	0.982	0.018
27801	21740	16309	5431	0.75	0.25
27803	21227	15335	5892	0.722	0.278
27804	29058	26188	2870	0.901	0.099
27805	3992	0	3992	0.0	1.0
27806	2331	0	2331	0.0	1.0
27807	6629	0	6629	0.0	1.0
27808	2225	0	2225	0.0	1.0
27809	5091	1128	3963	0.222	0.778
27810	4377	0	4377	0.0	1.0
27812	2593	0	2593	0.0	1.0
27813	747	0	747	0.0	1.0
27814	1676	0	1676	0.0	1.0
27816	2516	0	2516	0.0	1.0
27817	7358	1057	6301	0.144	0.856
27818	1344	0	1344	0.0	1.0
27819	330	0	330	0.0	1.0
27820	3088	0	3088	0.0	1.0
27821	358	0	358	0.0	1.0
27822	8143	10	8133	0.001	0.999
27823	8201	2672	5529	0.326	0.674
27824	1476	0	1476	0.0	1.0
27825	103	0	103	0.0	1.0
27826	1379	0	1379	0.0	1.0
27827	33	0	33	0.0	1.0
27828	9071	4815	4256	0.531	0.469
27829	1930	0	1930	0.0	1.0
27830	4755	0	4755	0.0	1.0
27831	3908	1049	2859	0.268	0.732
27832	2847	1301	1546	0.457	0.543
27834	52914	40514	12400	0.766	0.234
27837	5903	995	4908	0.169	0.831
27839	4001	0	4001	0.0	1.0
27840	514	0	514	0.0	1.0
27841	84	0	84	0.0	1.0
27842	1493	0	1493	0.0	1.0
27843	1157	0	1157	0.0	1.0
27844	2950	0	2950	0.0	1.0
27845	2394	0	2394	0.0	1.0
27846	2988	0	2988	0.0	1.0
27847	936	0	936	0.0	1.0
27849	1544	0	1544	0.0	1.0
27850	7247	0	7247	0.0	1.0
27851	5268	0	5268	0.0	1.0
27852	2977	0	2977	0.0	1.0
27853	673	0	673	0.0	1.0
27855	6456	2786	3670	0.432	0.568
27856	17141	7487	9654	0.437	0.563
27857	1298	0	1298	0.0	1.0
27858	55781	50739	5042	0.91	0.09
27860	2246	0	2246	0.0	1.0
27861	71	0	71	0.0	1.0
27862	877	0	877	0.0	1.0
27863	11735	2571	9164	0.219	0.781
27864	4779	0	4779	0.0	1.0
27865	1927	0	1927	0.0	1.0
27866	855	0	855	0.0	1.0
27869	2258	0	2258	0.0	1.0
27870	27236	20056	7180	0.736	0.264
27871	4619	0	4619	0.0	1.0
27872	375	0	375	0.0	1.0
27873	397	0	397	0.0	1.0
27874	4861	0	4861	0.0	1.0
27875	517	0	517	0.0	1.0
27876	1302	0	1302	0.0	1.0
27878	1931	1796	135	0.93	0.07
27879	311	311	0	1.0	0.0
27880	3304	0	3304	0.0	1.0
27881	61	0	61	0.0	1.0
27882	7413	0	7413	0.0	1.0
27883	3565	0	3565	0.0	1.0
27884	1282	0	1282	0.0	1.0
27885	984	0	984	0.0	1.0
27886	21591	13581	8010	0.629	0.371
27888	2560	0	2560	0.0	1.0
27889	27468	15372	12096	0.56	0.44
27890	2521	2044	477	0.811	0.189
27891	5227	0	5227	0.0	1.0
27892	15182	5361	9821	0.353	0.647
27893	39723	31228	8495	0.786	0.214
27896	20130	17952	2178	0.892	0.108
27897	2265	0	2265	0.0	1.0
27909	40699	23898	16801	0.587	0.413
27910	12007	4951	7056	0.412	0.588
27915	777	0	777	0.0	1.0
27916	747	0	747	0.0	1.0
27917	833	0	833	0.0	1.0
27919	1130	0	1130	0.0	1.0
27920	1326	0	1326	0.0	1.0
27921	4805	7	4798	0.001	0.999
27922	1030	0	1030	0.0	1.0
27923	598	0	598	0.0	1.0
27924	3140	0	3140	0.0	1.0
27925	4217	0	4217	0.0	1.0
27926	1915	0	1915	0.0	1.0
27927	542	0	542	0.0	1.0
27928	1986	0	1986	0.0	1.0
27929	1166	0	1166	0.0	1.0
27932	12562	4790	7772	0.381	0.619
27935	1698	0	1698	0.0	1.0
27936	1091	0	1091	0.0	1.0
27937	4333	0	4333	0.0	1.0
27938	1505	0	1505	0.0	1.0
27939	2361	0	2361	0.0	1.0
27941	536	10	526	0.019	0.981
27942	901	0	901	0.0	1.0
27943	504	0	504	0.0	1.0
27944	11909	0	11909	0.0	1.0
27946	1207	0	1207	0.0	1.0
27947	1230	0	1230	0.0	1.0
27948	10862	10833	29	0.997	0.003
27949	6947	5013	1934	0.722	0.278
27950	2006	0	2006	0.0	1.0
27953	1021	313	708	0.307	0.693
27954	6111	5228	883	0.856	0.144
27956	340	0	340	0.0	1.0
27957	1356	0	1356	0.0	1.0
27958	10144	0	10144	0.0	1.0
27959	2789	2710	79	0.972	0.028
27960	948	0	948	0.0	1.0
27962	7792	4265	3527	0.547	0.453
27964	545	387	158	0.71	0.29
27965	527	0	527	0.0	1.0
27966	1052	0	1052	0.0	1.0
27967	366	0	366	0.0	1.0
27968	298	0	298	0.0	1.0
27970	3409	0	3409	0.0	1.0
27972	244	0	244	0.0	1.0
27973	1323	0	1323	0.0	1.0
27974	1285	0	1285	0.0	1.0
27976	3449	0	3449	0.0	1.0
27978	225	0	225	0.0	1.0
27979	1719	0	1719	0.0	1.0
27980	2182	0	2182	0.0	1.0
27981	1643	0	1643	0.0	1.0
27982	82	0	82	0.0	1.0
27983	10416	3566	6850	0.342	0.658
27985	283	0	283	0.0	1.0
27986	2430	0	2430	0.0	1.0
28001	26760	15912	10848	0.595	0.405
28006	1130	317	813	0.281	0.719
28007	611	0	611	0.0	1.0
28009	1121	0	1121	0.0	1.0
28012	20048	17933	2115	0.895	0.105
28016	13463	6182	7281	0.459	0.541
28017	695	695	0	1.0	0.0
28018	5562	1110	4452	0.2	0.8
28019	123	123	0	1.0	0.0
28020	2322	0	2322	0.0	1.0
28021	13612	6802	6810	0.5	0.5
28023	14175	7171	7004	0.506	0.494
28025	49160	36711	12449	0.747	0.253
28027	55435	52589	2846	0.949	0.051
28031	24390	24311	79	0.997	0.003
28032	3105	3105	0	1.0	0.0
28033	2749	287	2462	0.104	0.896
28034	16642	9053	7589	0.544	0.456
28036	14654	11740	2914	0.801	0.199
28037	18287	11837	6450	0.647	0.353
28039	116	116	0	1.0	0.0
28040	7969	1180	6789	0.148	0.852
28043	21055	13841	7214	0.657	0.343
28052	34932	32186	2746	0.921	0.079
28054	36270	36270	0	1.0	0.0
28056	31418	26862	4556	0.855	0.145
28071	2802	0	2802	0.0	1.0
28072	1357	1357	0	1.0	0.0
28073	5621	411	5210	0.073	0.927
28075	16143	15634	509	0.968	0.032
28076	722	582	140	0.806	0.194
28077	482	482	0	1.0	0.0
28078	52133	48461	3672	0.93	0.07
28079	31979	28785	3194	0.9	0.1
28080	7299	793	6506	0.109	0.891
28081	25190	21837	3353	0.867	0.133
28083	23820	22035	1785	0.925	0.075
28086	25895	12435	13460	0.48	0.52
28088	2862	2787	75	0.974	0.026
28089	248	0	248	0.0	1.0
28090	8342	0	8342	0.0	1.0
28091	2158	0	2158	0.0	1.0
28092	38570	21378	17192	0.554	0.446
28097	5369	2352	3017	0.438	0.562
28098	3579	3579	0	1.0	0.0
28101	698	698	0	1.0	0.0
28102	78	0	78	0.0	1.0
28103	10311	2454	7857	0.238	0.762
28104	28040	27576	464	0.983	0.017
28105	39586	39586	0	1.0	0.0
28107	6422	0	6422	0.0	1.0
28108	54	0	54	0.0	1.0
28109	387	0	387	0.0	1.0
28110	50365	36262	14103	0.72	0.28
28112	26311	12208	14103	0.464	0.536
28114	7554	464	7090	0.061	0.939
28115	34339	27318	7021	0.796	0.204
28117	35454	34799	655	0.982	0.018
28119	2801	0	2801	0.0	1.0
28120	19807	17267	2540	0.872	0.128
28124	6622	0	6622	0.0	1.0
28125	2525	0	2525	0.0	1.0
28127	7594	911	6683	0.12	0.88
28128	7476	0	7476	0.0	1.0
28129	5399	0	5399	0.0	1.0
28133	2878	0	2878	0.0	1.0
28134	9453	9453	0	1.0	0.0
28135	6123	175	5948	0.029	0.971
28137	3120	0	3120	0.0	1.0
28138	10495	3833	6662	0.365	0.635
28139	20111	5530	14581	0.275	0.725
28144	24734	22102	2632	0.894	0.106
28146	27614	12597	15017	0.456	0.544
28147	24697	17278	7419	0.7	0.3
28150	28098	16212	11886	0.577	0.423
28152	24735	13251	11484	0.536	0.464
28159	3108	3003	105	0.966	0.034
28160	3929	3588	341	0.913	0.087
28163	5233	573	4660	0.109	0.891
28164	14085	7175	6910	0.509	0.491
28166	8619	4115	4504	0.477	0.523
28167	2362	0	2362	0.0	1.0
28168	10230	0	10230	0.0	1.0
28169	173	102	71	0.59	0.41
28170	12355	5616	6739	0.455	0.545
28173	45097	33698	11399	0.747	0.253
28174	8608	5130	3478	0.596	0.404
28202	11195	11195	0	1.0	0.0
28203	11315	11315	0	1.0	0.0
28204	4796	4796	0	1.0	0.0
28205	43931	43931	0	1.0	0.0
28206	11898	11898	0	1.0	0.0
28207	9280	9280	0	1.0	0.0
28208	34167	34167	0	1.0	0.0
28209	20317	20317	0	1.0	0.0
28210	42263	42263	0	1.0	0.0
28211	28523	28523	0	1.0	0.0
28212	38457	38457	0	1.0	0.0
28213	37309	37309	0	1.0	0.0
28214	34721	33980	741	0.979	0.021
28215	53629	53368	261	0.995	0.005
28216	47208	47173	35	0.999	0.001
28217	24204	24204	0	1.0	0.0
28226	37286	37286	0	1.0	0.0
28227	49635	47925	1710	0.966	0.034
28244	0	0	0		
28262	37547	37547	0	1.0	0.0
28269	71048	71048	0	1.0	0.0
28270	31525	31525	0	1.0	0.0
28273	31478	31478	0	1.0	0.0
28277	59664	59664	0	1.0	0.0
28278	19283	16953	2330	0.879	0.121
28280	10	10	0	1.0	0.0
28282	0	0	0		
28301	17165	17165	0	1.0	0.0
28303	30909	30909	0	1.0	0.0
28304	37147	36991	156	0.996	0.004
28305	6073	6073	0	1.0	0.0
28306	39683	35468	4215	0.894	0.106
28307	17631	17631	0	1.0	0.0
28308	405	405	0	1.0	0.0
28310	3459	3459	0	1.0	0.0
28311	34567	30803	3764	0.891	0.109
28312	18538	3732	14806	0.201	0.799
28314	54520	54520	0	1.0	0.0
28315	11681	7578	4103	0.649	0.351
28318	4627	0	4627	0.0	1.0
28320	9229	0	9229	0.0	1.0
28323	3182	39	3143	0.012	0.988
28325	508	428	80	0.843	0.157
28326	17646	7354	10292	0.417	0.583
28327	15433	3607	11826	0.234	0.766
28328	27042	9538	17504	0.353	0.647
28330	346	338	8	0.977	0.023
28332	482	0	482	0.0	1.0
28333	11830	5739	6091	0.485	0.515
28334	24908	10486	14422	0.421	0.579
28337	10670	3085	7585	0.289	0.711
28338	4607	0	4607	0.0	1.0
28339	6751	4337	2414	0.642	0.358
28340	10765	2507	8258	0.233	0.767
28341	4257	0	4257	0.0	1.0
28342	298	0	298	0.0	1.0
28343	1685	0	1685	0.0	1.0
28344	3415	0	3415	0.0	1.0
28345	12592	8417	4175	0.668	0.332
28347	1983	0	1983	0.0	1.0
28348	33307	29497	3810	0.886	0.114
28349	3724	0	3724	0.0	1.0
28350	305	0	305	0.0	1.0
28351	4759	1313	3446	0.276	0.724
28352	25641	17174	8467	0.67	0.33
28356	5018	0	5018	0.0	1.0
28357	3125	251	2874	0.08	0.92
28358	38738	24357	14381	0.629	0.371
28360	14263	6093	8170	0.427	0.573
28363	1202	0	1202	0.0	1.0
28364	14809	2674	12135	0.181	0.819
28365	17144	4768	12376	0.278	0.722
28366	5061	0	5061	0.0	1.0
28367	87	0	87	0.0	1.0
28369	2652	0	2652	0.0	1.0
28371	6519	2716	3803	0.417	0.583
28372	14783	6725	8058	0.455	0.545
28373	2150	1247	903	0.58	0.42
28374	15990	14292	1698	0.894	0.106
28375	102	0	102	0.0	1.0
28376	37991	25614	12377	0.674	0.326
28377	12666	4185	8481	0.33	0.67
28379	26388	16649	9739	0.631	0.369
28382	7056	0	7056	0.0	1.0
28383	8080	0	8080	0.0	1.0
28384	12097	3288	8809	0.272	0.728
28385	3029	0	3029	0.0	1.0
28386	6319	0	6319	0.0	1.0
28387	13921	12341	1580	0.887	0.113
28390	19942	14445	5497	0.724	0.276
28391	5302	0	5302	0.0	1.0
28392	1579	0	1579	0.0	1.0
28393	2005	0	2005	0.0	1.0
28394	5164	0	5164	0.0	1.0
28395	2375	0	2375	0.0	1.0
28396	2732	0	2732	0.0	1.0
28398	8112	3045	5067	0.375	0.625
28399	2140	0	2140	0.0	1.0
28401	22094	21678	416	0.981	0.019
28403	36063	36063	0	1.0	0.0
28405	29152	28843	309	0.989	0.011
28409	31296	31296	0	1.0	0.0
28411	31962	30581	1381	0.957	0.043
28412	35573	34805	768	0.978	0.022
28420	3886	8	3878	0.002	0.998
28421	1521	0	1521	0.0	1.0
28422	6641	0	6641	0.0	1.0
28423	2290	0	2290	0.0	1.0
28424	128	122	6	0.953	0.047
28425	10906	3456	7450	0.317	0.683
28428	6033	6033	0	1.0	0.0
28429	8026	6131	1895	0.764	0.236
28430	1900	0	1900	0.0	1.0
28431	7102	0	7102	0.0	1.0
28432	1968	0	1968	0.0	1.0
28433	5050	0	5050	0.0	1.0
28434	1329	0	1329	0.0	1.0
28435	2490	0	2490	0.0	1.0
28436	2203	0	2203	0.0	1.0
28438	1845	0	1845	0.0	1.0
28439	1595	0	1595	0.0	1.0
28441	3198	0	3198	0.0	1.0
28442	1647	0	1647	0.0	1.0
28443	17512	10716	6796	0.612	0.388
28444	2085	0	2085	0.0	1.0
28445	5676	0	5676	0.0	1.0
28447	1391	0	1391	0.0	1.0
28448	1243	0	1243	0.0	1.0
28449	1692	1692	0	1.0	0.0
28450	2438	0	2438	0.0	1.0
28451	27112	17782	9330	0.656	0.344
28452	694	0	694	0.0	1.0
28453	3829	0	3829	0.0	1.0
28454	2545	0	2545	0.0	1.0
